name,team,age,pre_IP,pre_FIP,prior_FIP,marcel_FIP,proj_FIP,model,mlbam
Ranger Suarez,Boston Red Sox,30,82.7,2.676,3.211,3.053,3.557,Ridge regression,624133
Andrew Morris,Minnesota Twins,24,38.0,2.783,,3.61,3.563,Ridge regression,702193
Peyton Gray,Texas Rangers,31,28.7,3.169,,3.894,3.569,Ridge regression,682608
Will Klein,Los Angeles Dodgers,26,31.3,3.099,2.744,3.139,3.573,Ridge regression,694361
Alex Hoppe,Seattle Mariners,27,24.0,2.849,,3.801,3.574,Ridge regression,695380
Bradgley Rodriguez,San Diego Padres,22,34.3,2.662,3.135,3.113,3.578,Ridge regression,699134
José Alvarado,Philadelphia Phillies,31,30.0,3.366,3.597,3.677,3.583,Ridge regression,621237
Abner Uribe,Milwaukee Brewers,26,32.0,3.349,2.75,3.229,3.591,Ridge regression,682842
Brandon Woodruff,Milwaukee Brewers,33,41.7,3.099,3.166,3.378,3.592,Ridge regression,605540
Gregory Soto,Pittsburgh Pirates,31,34.3,3.39,3.417,3.593,3.598,Ridge regression,642397
Jeremiah Estrada,San Diego Padres,27,20.7,3.583,3.546,3.697,3.607,Ridge regression,669093
Brent Headrick,New York Yankees,28,39.0,2.843,3.831,3.516,3.609,Ridge regression,687396
Bryan Woo,Seattle Mariners,26,93.0,3.056,3.467,3.291,3.627,Ridge regression,693433
Mick Abel,Minnesota Twins,24,20.3,2.755,5.109,4.276,3.628,Ridge regression,690953
Drew Rasmussen,Tampa Bay Rays,30,92.0,2.979,3.842,3.39,3.631,Ridge regression,656876
Reid Detmers,Los Angeles Angels,26,99.7,2.948,3.119,3.122,3.631,Ridge regression,672282
Max Fried,New York Yankees,32,61.7,2.71,3.068,3.101,3.637,Ridge regression,608331
Tommy Nance,Toronto Blue Jays,35,29.3,3.44,1.872,2.932,3.64,Ridge regression,667297
Garrett Crochet,Boston Red Sox,27,30.0,4.299,2.887,3.617,3.64,Ridge regression,676979
Gabe Speier,Seattle Mariners,31,21.0,3.194,2.312,2.996,3.647,Ridge regression,642100
Enmanuel De Jesus,Detroit Tigers,29,31.7,2.783,,3.718,3.651,Ridge regression,646241
Mark Leiter Jr.,Athletics,35,29.7,2.998,3.549,3.574,3.662,Ridge regression,643410
Jack Dreyer,Los Angeles Dodgers,27,32.7,4.109,2.821,3.54,3.671,Ridge regression,676263
Mason Fluharty,Toronto Blue Jays,24,32.0,3.474,3.97,3.809,3.672,Ridge regression,689254
Carlos Rodón,New York Yankees,33,41.3,3.486,3.78,3.792,3.673,Ridge regression,607074
Didier Fuentes,Atlanta Braves,21,31.0,2.357,9.135,5.786,3.677,Ridge regression,800311
Kevin Ginkel,Arizona Diamondbacks,32,31.7,3.478,3.641,3.741,3.686,Ridge regression,656464
Jacob deGrom,Texas Rangers,38,88.7,3.584,3.645,3.784,3.689,Ridge regression,594798
Landen Roupp,San Francisco Giants,27,86.3,2.937,3.913,3.37,3.691,Ridge regression,694738
Will Vest,Detroit Tigers,31,26.7,3.399,2.713,3.269,3.693,Ridge regression,676684
Rico Garcia,Baltimore Orioles,32,34.3,3.74,3.688,3.851,3.694,Ridge regression,670329
Parker Messick,Cleveland Guardians,25,94.3,3.152,2.984,3.206,3.694,Ridge regression,800048
Spencer Miles,Toronto Blue Jays,25,51.0,3.099,,3.664,3.698,Ridge regression,693686
Drew Anderson,Detroit Tigers,32,49.7,3.683,,4.006,3.704,Ridge regression,623454
Logan Webb,San Francisco Giants,29,90.3,2.999,2.604,3.05,3.706,Ridge regression,657277
Zack Wheeler,Philadelphia Phillies,36,75.3,3.351,3.001,3.443,3.707,Ridge regression,554430
Eduard Bazardo,Seattle Mariners,30,36.7,3.017,3.643,3.536,3.71,Ridge regression,660825
Yoshinobu Yamamoto,Los Angeles Dodgers,27,97.7,3.396,2.939,3.364,3.743,Ridge regression,808967
Shane Drohan,Milwaukee Brewers,27,52.0,3.137,,3.697,3.747,Ridge regression,675660
Brooks Raley,New York Mets,38,30.0,3.432,2.122,3.081,3.75,Ridge regression,548384
José A. Ferrer,Seattle Mariners,26,35.0,3.128,3.03,3.274,3.755,Ridge regression,678606
Jack Perkins,Athletics,26,51.0,3.609,4.118,3.885,3.756,Ridge regression,678022
Tim Mayza,Philadelphia Phillies,34,36.7,3.208,4.155,3.871,3.76,Ridge regression,641835
Tyler Wells,Baltimore Orioles,31,37.7,3.497,4.15,3.944,3.763,Ridge regression,669330
Dylan Dodd,Atlanta Braves,28,20.0,4.049,3.792,3.954,3.767,Ridge regression,689266
Nolan McLean,New York Mets,24,89.3,3.692,2.968,3.517,3.768,Ridge regression,690997
Michael Soroka,Arizona Diamondbacks,28,82.0,2.928,4.228,3.481,3.771,Ridge regression,647336
Brandon Eisert,Chicago White Sox,28,20.7,4.067,4.542,4.35,3.773,Ridge regression,685126
Orion Kerkering,Philadelphia Phillies,25,32.7,3.803,3.818,3.863,3.778,Ridge regression,689147
Logan Gilbert,Seattle Mariners,29,100.0,3.589,3.349,3.613,3.783,Ridge regression,669302
Keaton Winn,San Francisco Giants,28,30.7,3.229,3.235,3.431,3.783,Ridge regression,676775
Luis Medina,Athletics,27,37.0,3.748,,4.016,3.789,Ridge regression,665622
