name,team,age,pre_PA,pre_wOBA,prior_wOBA,marcel_wOBA,proj_wOBA,model,mlbam
Lourdes Gurriel Jr.,Arizona Diamondbacks,32,140.0,0.2491,0.3042,0.2779,0.2873,Ridge regression,666971
Adam Frazier,Los Angeles Angels,34,93.0,0.2801,0.2981,0.2882,0.2872,Ridge regression,624428
Victor Scott II,St. Louis Cardinals,25,184.0,0.2446,0.2727,0.2674,0.2871,Ridge regression,687363
Jake Cronenworth,San Diego Padres,32,114.0,0.2279,0.3312,0.285,0.2871,Ridge regression,630105
Alek Thomas,Arizona Diamondbacks,26,100.0,0.2419,0.2853,0.2772,0.2869,Ridge regression,677950
Javier Báez,Detroit Tigers,33,82.0,0.2895,0.2912,0.2891,0.2866,Ridge regression,595879
Christian Vázquez,Houston Astros,35,175.0,0.2622,0.247,0.2565,0.2866,Ridge regression,543877
Joey Ortiz,Milwaukee Brewers,27,191.0,0.2434,0.2617,0.2605,0.2864,Ridge regression,687401
Taylor Walls,Tampa Bay Rays,29,224.0,0.2795,0.2634,0.2768,0.2862,Ridge regression,670764
Andrew McCutchen,Texas Rangers,39,83.0,0.2454,0.307,0.278,0.2849,Ridge regression,457705
Ryan Kreidler,Minnesota Twins,28,104.0,0.379,0.1495,0.2591,0.2842,Ridge regression,668952
Thomas Saggese,St. Louis Cardinals,24,82.0,0.2315,0.281,0.2762,0.284,Ridge regression,695336
Patrick Bailey,Cleveland Guardians,27,169.0,0.2145,0.2638,0.2491,0.2839,Ridge regression,672275
Jared Triolo,Pittsburgh Pirates,28,168.0,0.2687,0.2939,0.2843,0.2836,Ridge regression,669707
Darell Hernaiz,Athletics,24,134.0,0.2767,0.2649,0.2811,0.2833,Ridge regression,687231
Ke'Bryan Hayes,Cincinnati Reds,29,128.0,0.1884,0.2646,0.2415,0.2829,Ridge regression,663647
Brenton Doyle,Colorado Rockies,28,122.0,0.2491,0.28,0.2733,0.2827,Ridge regression,686668
Leo Rivas,Seattle Mariners,28,120.0,0.2148,0.3319,0.2833,0.2827,Ridge regression,660844
Blake Perkins,Milwaukee Brewers,29,98.0,0.2323,0.2851,0.2712,0.2826,Ridge regression,663368
Oswald Peraza,Los Angeles Angels,26,248.0,0.3097,0.2126,0.2807,0.2823,Ridge regression,672724
Tyrone Taylor,New York Mets,32,106.0,0.2399,0.2628,0.2595,0.2819,Ridge regression,621438
