name,team,age,pre_PA,pre_wOBA,prior_wOBA,marcel_wOBA,proj_wOBA,model,mlbam
Andrew Vaughn,Milwaukee Brewers,28,140.0,0.395,0.3089,0.3439,0.3201,Ridge regression,683734
Casey Schmitt,San Francisco Giants,27,313.0,0.3477,0.3049,0.3318,0.32,Ridge regression,669477
Joey Loperfido,Houston Astros,27,113.0,0.2954,0.3786,0.3358,0.32,Ridge regression,694388
Jake Burger,Texas Rangers,30,327.0,0.3293,0.292,0.3144,0.3198,Ridge regression,669394
Trevor Larnach,Minnesota Twins,29,248.0,0.3566,0.3144,0.3354,0.3197,Ridge regression,663616
Andrew Benintendi,Chicago White Sox,31,254.0,0.3084,0.3143,0.3067,0.3196,Ridge regression,643217
Nolan Schanuel,Los Angeles Angels,24,274.0,0.3195,0.3251,0.3232,0.3187,Ridge regression,694384
Amed Rosario,New York Yankees,30,139.0,0.3076,0.3191,0.3101,0.3184,Ridge regression,642708
Ty France,San Diego Padres,31,180.0,0.3394,0.3001,0.3166,0.3184,Ridge regression,664034
Carson Benge,New York Mets,23,330.0,0.3104,,0.315,0.3184,Ridge regression,701807
A.J. Ewing,New York Mets,21,169.0,0.3405,,0.3311,0.3182,Ridge regression,805999
Nico Hoerner,Chicago Cubs,29,372.0,0.2924,0.3224,0.2998,0.3182,Ridge regression,663538
Joey Wiemer,Washington Nationals,27,83.0,0.3908,0.2942,0.3263,0.3179,Ridge regression,686894
Jose Altuve,Houston Astros,36,265.0,0.3043,0.3289,0.3037,0.3177,Ridge regression,514888
Miguel Andujar,San Diego Padres,31,209.0,0.2991,0.3515,0.3149,0.3177,Ridge regression,609280
Brendan Donovan,Seattle Mariners,29,101.0,0.3654,0.335,0.3386,0.3176,Ridge regression,680977
Alec Bohm,Philadelphia Phillies,29,317.0,0.2773,0.3204,0.291,0.3175,Ridge regression,664761
Christian Yelich,Milwaukee Brewers,34,217.0,0.3192,0.3405,0.3183,0.3173,Ridge regression,592885
Carlos Correa,Houston Astros,31,141.0,0.3421,0.3202,0.3238,0.3173,Ridge regression,621043
Michael Harris II,Atlanta Braves,25,288.0,0.3549,0.2863,0.3319,0.3172,Ridge regression,671739
Trea Turner,Philadelphia Phillies,33,361.0,0.2719,0.3492,0.2895,0.317,Ridge regression,607208
Josh Bell,Minnesota Twins,33,323.0,0.3009,0.3214,0.3017,0.316,Ridge regression,605137
Randal Grichuk,Chicago White Sox,34,119.0,0.3658,0.2862,0.3137,0.316,Ridge regression,545341
Sal Frelick,Milwaukee Brewers,26,270.0,0.2794,0.3303,0.2997,0.316,Ridge regression,686217
Jo Adell,Los Angeles Angels,27,350.0,0.3031,0.3293,0.3107,0.3159,Ridge regression,666176
Eugenio Suárez,Cincinnati Reds,34,214.0,0.2838,0.3431,0.3009,0.3159,Ridge regression,553993
Jorge Soler,Los Angeles Angels,34,264.0,0.3117,0.2954,0.2998,0.3159,Ridge regression,624585
Bryce Eldridge,San Francisco Giants,21,163.0,0.3672,0.2408,0.3153,0.3157,Ridge regression,805811
Cam Smith,Houston Astros,23,316.0,0.2888,0.296,0.2975,0.3157,Ridge regression,701358
Luke Raley,Seattle Mariners,31,227.0,0.333,0.2888,0.3116,0.3156,Ridge regression,670042
Bryson Stott,Philadelphia Phillies,28,298.0,0.298,0.3132,0.303,0.3155,Ridge regression,681082
Teoscar Hernández,Los Angeles Dodgers,33,204.0,0.3378,0.3121,0.3191,0.3153,Ridge regression,606192
Jonah Heim,Athletics,31,132.0,0.34,0.2641,0.2989,0.3152,Ridge regression,641680
Evan Carter,Texas Rangers,23,231.0,0.2734,0.3192,0.2977,0.315,Ridge regression,694497
Jung Hoo Lee,San Francisco Giants,27,301.0,0.3511,0.3179,0.3371,0.315,Ridge regression,808982
Wenceel Pérez,Detroit Tigers,26,175.0,0.2579,0.3156,0.2891,0.3146,Ridge regression,672761
Jacob Wilson,Athletics,24,214.0,0.3017,0.3457,0.3211,0.3143,Ridge regression,805779
Dylan Beavers,Baltimore Orioles,24,122.0,0.3067,0.3449,0.3273,0.3142,Ridge regression,687637
Giancarlo Stanton,New York Yankees,36,96.0,0.3115,0.3908,0.3401,0.3142,Ridge regression,519317
Tyler Stephenson,Cincinnati Reds,29,221.0,0.2902,0.3168,0.3002,0.3141,Ridge regression,663886
Josh Jung,Texas Rangers,28,336.0,0.3422,0.2959,0.3257,0.314,Ridge regression,673962
Dominic Smith,Atlanta Braves,31,197.0,0.3129,0.3233,0.3124,0.3137,Ridge regression,642086
Isaac Collins,Kansas City Royals,28,279.0,0.3009,0.3423,0.3134,0.3137,Ridge regression,686555
Coby Mayo,Baltimore Orioles,24,231.0,0.2749,0.3004,0.2913,0.3137,Ridge regression,691723
Victor Caratini,Minnesota Twins,32,231.0,0.3027,0.3161,0.3033,0.3136,Ridge regression,605170
Davis Schneider,Toronto Blue Jays,27,118.0,0.2631,0.3485,0.3099,0.3136,Ridge regression,676914
Konnor Griffin,Pittsburgh Pirates,20,213.0,0.3257,,0.3261,0.3135,Ridge regression,804606
Samuel Basallo,Baltimore Orioles,21,258.0,0.3233,0.2439,0.3035,0.3134,Ridge regression,694212
Caleb Durbin,Boston Red Sox,26,263.0,0.2879,0.3173,0.3009,0.3131,Ridge regression,702332
Vaughn Grissom,Los Angeles Angels,25,177.0,0.305,,0.3107,0.3131,Ridge regression,687093
Drew Romo,Chicago White Sox,24,108.0,0.2439,,0.2911,0.313,Ridge regression,691011
Xander Bogaerts,San Diego Padres,33,306.0,0.2903,0.3113,0.2927,0.3129,Ridge regression,593428
Otto Lopez,Miami Marlins,27,353.0,0.3593,0.2929,0.3374,0.3128,Ridge regression,672640
Michael Conforto,Chicago Cubs,33,129.0,0.3343,0.2856,0.3035,0.3124,Ridge regression,624424
Austin Riley,Atlanta Braves,29,328.0,0.281,0.316,0.2918,0.3123,Ridge regression,663586
Troy Johnston,Colorado Rockies,29,280.0,0.3543,0.3256,0.3386,0.3121,Ridge regression,687859
Kyle Karros,Colorado Rockies,23,263.0,0.3204,0.2669,0.3071,0.312,Ridge regression,691720
José Fermín,St. Louis Cardinals,27,129.0,0.3116,0.3496,0.3278,0.312,Ridge regression,665877
Tristan Peters,Chicago White Sox,26,233.0,0.3396,,0.3279,0.3119,Ridge regression,671976
Nolan Gorman,St. Louis Cardinals,26,229.0,0.262,0.2895,0.279,0.3119,Ridge regression,669357
Jared Young,New York Mets,30,116.0,0.3243,0.2974,0.307,0.3115,Ridge regression,676724
Zach McKinstry,Detroit Tigers,31,199.0,0.2554,0.3306,0.2863,0.3115,Ridge regression,656716
Mark Vientos,New York Mets,26,241.0,0.2727,0.301,0.288,0.3114,Ridge regression,668901
Colton Cowser,Baltimore Orioles,26,205.0,0.3083,0.2828,0.301,0.3114,Ridge regression,681297
Carson Kelly,Chicago Cubs,31,218.0,0.3337,0.3291,0.325,0.3113,Ridge regression,608348
Heliot Ramos,San Francisco Giants,26,176.0,0.3109,0.3167,0.3142,0.3113,Ridge regression,671218
Ceddanne Rafaela,Boston Red Sox,25,307.0,0.3343,0.3042,0.3253,0.3112,Ridge regression,678882
Chase Meidroth,Chicago White Sox,24,339.0,0.3181,0.2922,0.3137,0.3112,Ridge regression,805367
Yohendrick Piñango,Toronto Blue Jays,24,143.0,0.3279,,0.3216,0.311,Ridge regression,682818
Noelvi Marte,Cincinnati Reds,24,93.0,0.2765,0.3186,0.3069,0.311,Ridge regression,682622
Matt McLain,Cincinnati Reds,26,292.0,0.2885,0.2847,0.2913,0.311,Ridge regression,680574
Marcell Ozuna,Pittsburgh Pirates,35,229.0,0.2712,0.3318,0.2887,0.311,Ridge regression,542303
Jac Caglianone,Kansas City Royals,23,297.0,0.3501,0.2372,0.3177,0.3108,Ridge regression,695506
Richie Palacios,Tampa Bay Rays,29,196.0,0.2908,0.3669,0.3189,0.3106,Ridge regression,680700
Lawrence Butler,Athletics,25,227.0,0.265,0.308,0.2877,0.3105,Ridge regression,671732
Ernie Clement,Toronto Blue Jays,30,323.0,0.3245,0.3064,0.3152,0.3103,Ridge regression,676391
Jeremiah Jackson,Baltimore Orioles,26,206.0,0.2825,0.3331,0.3053,0.3103,Ridge regression,669236
Jesús Sánchez,Toronto Blue Jays,28,234.0,0.3202,0.3021,0.3122,0.31,Ridge regression,660821
Tommy Troy,Arizona Diamondbacks,24,102.0,0.299,,0.3106,0.3099,Ridge regression,694371
Jonny DeLuca,Tampa Bay Rays,27,149.0,0.312,0.3475,0.3262,0.3099,Ridge regression,676356
Harrison Bader,San Francisco Giants,32,111.0,0.2342,0.3439,0.2936,0.3098,Ridge regression,664056
Sam Antonacci,Chicago White Sox,23,258.0,0.3558,,0.3407,0.3097,Ridge regression,803011
Colt Keith,Detroit Tigers,24,242.0,0.2889,0.3233,0.3059,0.3097,Ridge regression,690993
Francisco Lindor,New York Mets,32,118.0,0.2902,0.3475,0.3145,0.3096,Ridge regression,596019
José Caballero,New York Yankees,29,253.0,0.3092,0.3073,0.307,0.3095,Ridge regression,676609
Jahmai Jones,Detroit Tigers,28,102.0,0.2088,0.3955,0.3149,0.3094,Ridge regression,663330
Esteury Ruiz,Miami Marlins,27,94.0,0.379,0.2617,0.3095,0.3092,Ridge regression,665923
Dalton Rushing,Los Angeles Dodgers,25,165.0,0.3432,0.2543,0.306,0.3086,Ridge regression,687221
Austin Martin,Minnesota Twins,27,254.0,0.3064,0.3313,0.3148,0.3081,Ridge regression,668885
Willi Castro,Colorado Rockies,29,285.0,0.3242,0.2995,0.3136,0.3078,Ridge regression,650489
Matt Shaw,Chicago Cubs,24,147.0,0.3192,0.2978,0.3123,0.3077,Ridge regression,807713
Wade Meckler,Los Angeles Angels,26,109.0,0.3376,,0.322,0.3076,Ridge regression,685133
Salvador Perez,Kansas City Royals,36,332.0,0.2482,0.3077,0.2621,0.3076,Ridge regression,521692
Royce Lewis,Minnesota Twins,27,205.0,0.2873,0.2894,0.2917,0.3073,Ridge regression,668904
Ryan McMahon,New York Yankees,31,202.0,0.274,0.3039,0.2861,0.3072,Ridge regression,641857
Joe Mack,Miami Marlins,23,137.0,0.305,,0.3132,0.3071,Ridge regression,691788
Miguel Amaya,Chicago Cubs,27,135.0,0.3278,0.3427,0.3312,0.3071,Ridge regression,665804
Marcus Semien,New York Mets,35,318.0,0.2675,0.2928,0.2715,0.3069,Ridge regression,543760
Masyn Winn,St. Louis Cardinals,24,307.0,0.2877,0.2956,0.2958,0.3068,Ridge regression,691026
Ildemaro Vargas,Arizona Diamondbacks,34,269.0,0.2989,0.2905,0.2911,0.3067,Ridge regression,545121
Nolan Arenado,Arizona Diamondbacks,35,299.0,0.302,0.2845,0.2903,0.3066,Ridge regression,571448
Steven Kwan,Cleveland Guardians,28,311.0,0.2674,0.3078,0.2827,0.3065,Ridge regression,680757
Garrett Mitchell,Milwaukee Brewers,27,255.0,0.3299,0.2596,0.3059,0.3064,Ridge regression,669003
Brett Baty,New York Mets,26,277.0,0.2668,0.3211,0.2894,0.3063,Ridge regression,683146
Cedric Mullins,Tampa Bay Rays,31,277.0,0.2751,0.2992,0.2828,0.3063,Ridge regression,656775
Angel Martínez,Cleveland Guardians,24,243.0,0.3051,0.2717,0.2985,0.3062,Ridge regression,682657
Brayan Rocchio,Cleveland Guardians,25,309.0,0.3198,0.2765,0.309,0.3062,Ridge regression,677587
Cole Young,Seattle Mariners,22,341.0,0.2991,0.2721,0.2985,0.3061,Ridge regression,702284
Mauricio Dubón,Atlanta Braves,31,310.0,0.3184,0.281,0.3034,0.306,Ridge regression,643289
Austin Wells,New York Yankees,26,186.0,0.2314,0.2995,0.2696,0.3059,Ridge regression,669224
Will Benson,Cincinnati Reds,28,114.0,0.286,0.2957,0.2943,0.3058,Ridge regression,666181
Ezequiel Tovar,Colorado Rockies,24,294.0,0.2543,0.2984,0.2768,0.3058,Ridge regression,678662
Blaze Alexander,Baltimore Orioles,27,203.0,0.3394,0.3113,0.3256,0.3052,Ridge regression,677942
Agustín Ramírez,Miami Marlins,24,129.0,0.2916,0.2992,0.3016,0.3046,Ridge regression,682663
Justin Crawford,Philadelphia Phillies,22,253.0,0.2775,,0.2977,0.3045,Ridge regression,702222
Owen Caissie,Miami Marlins,23,224.0,0.3038,0.2433,0.289,0.3043,Ridge regression,683357
Jeff McNeil,Athletics,34,268.0,0.2741,0.3214,0.2861,0.304,Ridge regression,643446
Jasson Domínguez,New York Yankees,23,86.0,0.2884,0.3139,0.3098,0.3032,Ridge regression,691176
Nick Loftin,Kansas City Royals,27,164.0,0.3191,0.2765,0.3015,0.303,Ridge regression,679845
Jake McCarthy,Colorado Rockies,28,245.0,0.3528,0.2543,0.3153,0.303,Ridge regression,664983
Edmundo Sosa,Philadelphia Phillies,30,145.0,0.2738,0.3293,0.3,0.3027,Ridge regression,624641
Henry Bolte,Athletics,22,153.0,0.348,,0.3326,0.3025,Ridge regression,703607
Alex Call,Los Angeles Dodgers,31,126.0,0.3235,0.3296,0.32,0.3024,Ridge regression,669743
Yoán Moncada,Los Angeles Angels,31,130.0,0.2773,0.3366,0.3048,0.3023,Ridge regression,660162
Hao-Yu Lee,Detroit Tigers,23,130.0,0.2888,,0.3069,0.3019,Ridge regression,701678
Max Muncy,Athletics,23,155.0,0.3036,0.2745,0.2975,0.3018,Ridge regression,691777
Andruw Monasterio,Boston Red Sox,29,133.0,0.2791,0.3253,0.3025,0.3017,Ridge regression,655316
Mike Yastrzemski,Atlanta Braves,35,224.0,0.2879,0.3186,0.2934,0.3016,Ridge regression,573262
Nathan Lukes,Toronto Blue Jays,31,170.0,0.3452,0.3148,0.3243,0.3011,Ridge regression,664770
Matt Vierling,Detroit Tigers,29,229.0,0.2585,0.2767,0.2699,0.301,Ridge regression,663837
Endy Rodríguez,Pittsburgh Pirates,26,100.0,0.3609,0.2247,0.2886,0.3008,Ridge regression,682848
Jose Fernandez,Arizona Diamondbacks,22,177.0,0.2797,,0.3018,0.3006,Ridge regression,699912
Jake Meyers,Houston Astros,30,144.0,0.2562,0.321,0.2893,0.3005,Ridge regression,676694
Chandler Simpson,Tampa Bay Rays,25,311.0,0.276,0.295,0.2874,0.3003,Ridge regression,802415
Nick Castellanos,San Diego Padres,34,122.0,0.2347,0.2982,0.2697,0.3002,Ridge regression,592206
Daniel Schneemann,Cleveland Guardians,29,231.0,0.2788,0.2784,0.2813,0.3001,Ridge regression,682177
David Fry,Cleveland Guardians,30,131.0,0.3021,0.2551,0.281,0.2997,Ridge regression,681807
Jake Fraley,Tampa Bay Rays,31,90.0,0.3,0.3135,0.305,0.2994,Ridge regression,641584
Connor Norby,Miami Marlins,26,233.0,0.2884,0.298,0.2958,0.2992,Ridge regression,681393
Michael Massey,Kansas City Royals,28,207.0,0.312,0.2531,0.2907,0.2992,Ridge regression,686681
Javier Sanoja,Miami Marlins,23,196.0,0.2865,0.2923,0.2964,0.2991,Ridge regression,691594
Adolis García,Philadelphia Phillies,33,259.0,0.264,0.2835,0.2702,0.299,Ridge regression,666969
J.T. Realmuto,Philadelphia Phillies,35,219.0,0.2711,0.3046,0.2802,0.299,Ridge regression,592663
Brady House,Washington Nationals,23,177.0,0.2932,0.2469,0.283,0.2989,Ridge regression,691781
Brice Matthews,Houston Astros,24,208.0,0.2463,0.2831,0.2716,0.2988,Ridge regression,694728
Ezequiel Duran,Texas Rangers,27,276.0,0.3219,0.2473,0.2987,0.2985,Ridge regression,677649
Jacob Young,Washington Nationals,26,267.0,0.2782,0.2628,0.2789,0.2985,Ridge regression,696285
Luis Robert Jr.,New York Mets,28,98.0,0.296,0.2872,0.2941,0.2984,Ridge regression,673357
Nick Gonzales,Pittsburgh Pirates,27,312.0,0.3167,0.2872,0.3081,0.2983,Ridge regression,693304
Marcelo Mayer,Boston Red Sox,23,228.0,0.2633,0.2874,0.282,0.2982,Ridge regression,691785
